date,county,quantile,hosp_census_with_covid,hosp_census_for_covid,cases,Rt
2022-02-09,Total,0.05,9.88785457274426,5.93271274364656,134.758747236979,0.650545995318739
2022-02-09,Total,0.5,15.8009691649352,9.48058149896113,222.77792005038,0.71774001957072
2022-02-09,Total,0.95,21.3860171539233,12.831610292354,323.400985011531,0.775654727024336
2022-02-10,Total,0.05,9.46315524416555,5.67789314649933,126.671055982599,0.643049872877902
2022-02-10,Total,0.5,15.4414213698948,9.26485282193686,208.9477475886,0.709621453062379
2022-02-10,Total,0.95,21.4353324874076,12.8611994924446,305.75529628738,0.768352936354138
2022-02-11,Total,0.05,8.41558256376614,5.04934953825968,118.202162968128,0.635893622765945
2022-02-11,Total,0.5,14.5278448169092,8.71670689014552,195.71039590697,0.702315095141677
2022-02-11,Total,0.95,20.2701467375433,12.162088042526,287.148833974785,0.761419448590575
2022-02-12,Total,0.05,7.92609346522853,4.75565607913712,110.876844464125,0.630596104491934
2022-02-12,Total,0.5,13.7091438484905,8.2254863090943,183.838184308477,0.695499411411768
2022-02-12,Total,0.95,19.6408384849298,11.7845030909579,268.588701189219,0.754940149056291
2022-02-13,Total,0.05,7.38265018042016,4.4295901082521,103.37656621211,0.625834345544778
2022-02-13,Total,0.5,13.2175540798098,7.93053244788587,171.64937242547,0.689738939513407
2022-02-13,Total,0.95,19.329055889714,11.5974335338284,251.665149584783,0.749143244868121
2022-02-14,Total,0.05,6.11053867918911,3.66632320751347,96.5022327273616,0.622085982196763
2022-02-14,Total,0.5,12.1227886219327,7.27367317315961,160.549364261969,0.685073673301159
2022-02-14,Total,0.95,18.0751488907828,10.8450893344697,235.099845338455,0.74435952410804
2022-02-15,Total,0.05,5.96885057151936,3.58131034291162,89.4235982067345,0.618603564281121
2022-02-15,Total,0.5,11.7444838776106,7.04669032656636,149.486895097802,0.680807096962167
2022-02-15,Total,0.95,17.3375974595117,10.402558475707,219.791884870916,0.740497310525659
2022-02-16,Total,0.05,5.57302722676471,3.34381633605883,84.4028706995947,0.615570183463422
2022-02-16,Total,0.5,11.0805907715039,6.64835446290232,139.595790092202,0.677740731212061
2022-02-16,Total,0.95,16.7457418521453,10.0474451112872,205.21019251697,0.737255046946605
2022-02-17,Total,0.05,4.38995576541411,2.63397345924846,78.6208067502277,0.616700961318244
2022-02-17,Total,0.5,10.4546577348792,6.27279464092752,130.292753295704,0.677664941126371
2022-02-17,Total,0.95,16.7986377196755,10.0791826318053,192.498862118636,0.736635458900685
2022-02-18,Total,0.05,3.82655742876338,2.29593445725803,72.8494037584971,0.624720407316795
2022-02-18,Total,0.5,9.531846679791,5.7191080078746,121.930603913198,0.685502898446673
2022-02-18,Total,0.95,15.1743810580635,9.1046286348381,181.299174250852,0.74735420384939
2022-02-19,Total,0.05,3.45002271631032,2.07001362978619,68.1929532686288,0.644875613417639
2022-02-19,Total,0.5,9.00902534139298,5.40541520483579,114.259979129525,0.712710567428345
2022-02-19,Total,0.95,14.8174166700032,8.89045000200194,171.676544221898,0.777282309111961
2022-02-20,Total,0.05,2.98998885709158,1.79399331425495,64.9895259752029,0.673964585106056
2022-02-20,Total,0.5,8.6663578882705,5.1998147329623,109.457348077363,0.754346449247616
2022-02-20,Total,0.95,14.0813576261105,8.44881457566631,165.613132969798,0.827653968982359
2022-02-21,Total,0.05,2.38640975968381,1.43184585581028,62.9036956631598,0.691698428978398
2022-02-21,Total,0.5,8.17719213122783,4.9063152787367,106.672228280238,0.783900898172665
2022-02-21,Total,0.95,14.0436951920462,8.42621711522771,162.154154044498,0.866826765104829
2022-02-22,Total,0.05,1.61135841844561,0.966815051067365,61.1125756677846,0.699314166964556
2022-02-22,Total,0.5,7.57066092480576,4.54239655488345,104.034962285999,0.794188728566183
2022-02-22,Total,0.95,13.0390787118123,7.82344722708735,158.678849682256,0.880750950356623
2022-02-23,Total,0.05,1.09019372882814,0.654116237296885,59.0074202367314,0.701647979956107
